timestamp,air_temp,process_temp,rotational_speed,torque,tool_wear,power_kw,temp_diff,torque_speed_ratio,strain_index,wear_rate,anomaly,anomaly_type
2020-01-01 00:00:00,24.95,35.45,1551,42.8,0,6.952,10.5,0.0276,0.0,0.0,0,Normal
2020-01-01 00:01:00,25.05,35.55,1408,46.3,3,6.827,10.5,0.0329,138.9,1.5,0,Normal
2020-01-01 00:02:00,24.95,35.35,1498,49.4,5,7.749,10.4,0.033,247.0,1.6667,0,Normal
2020-01-01 00:03:00,25.05,35.45,1433,39.5,7,5.928,10.4,0.0276,276.5,1.75,0,Normal
2020-01-01 00:04:00,25.05,35.55,1408,40.0,9,5.898,10.5,0.0284,360.0,1.8,0,Normal
2020-01-01 00:05:00,24.95,35.45,1425,41.9,11,6.253,10.5,0.0294,460.9,1.8333,0,Normal
2020-01-01 00:06:00,24.95,35.45,1558,42.4,14,6.918,10.5,0.0272,593.6,2.0,0,Normal
2020-01-01 00:07:00,24.95,35.45,1527,40.2,16,6.428,10.5,0.0263,643.2,2.0,0,Normal
2020-01-01 00:08:00,25.15,35.55,1667,28.6,18,4.993,10.4,0.0172,514.8,2.0,0,Normal
2020-01-01 00:09:00,25.35,35.85,1741,28.0,21,5.105,10.5,0.0161,588.0,2.1,0,Normal
2020-01-01 00:10:00,25.25,35.75,1782,23.9,24,4.46,10.5,0.0134,573.6,2.1818,0,Normal
2020-01-01 00:11:00,25.45,35.95,1423,44.3,29,6.601,10.5,0.0311,1284.7,2.4167,0,Normal
2020-01-01 00:12:00,25.45,35.95,1339,51.1,34,7.165,10.5,0.0382,1737.4,2.6154,0,Normal
2020-01-01 00:13:00,25.45,36.05,1742,30.0,37,5.473,10.6,0.0172,1110.0,2.6429,0,Normal
2020-01-01 00:14:00,25.45,36.05,2035,19.6,40,4.177,10.6,0.0096,784.0,2.6667,0,Normal
2020-01-01 00:15:00,25.45,36.05,1542,48.4,42,7.816,10.6,0.0314,2032.8,2.625,0,Normal
2020-01-01 00:16:00,25.45,36.05,1311,46.6,44,6.398,10.6,0.0355,2050.4,2.5882,0,Normal
2020-01-01 00:17:00,25.55,36.05,1410,45.6,47,6.733,10.5,0.0323,2143.2,2.6111,0,Normal
2020-01-01 00:18:00,25.65,36.05,1306,54.5,50,7.454,10.4,0.0417,2725.0,2.6316,0,Normal
2020-01-01 00:19:00,25.75,36.15,1632,32.5,55,5.554,10.4,0.0199,1787.5,2.75,0,Normal
2020-01-01 00:20:00,25.75,36.15,1375,42.7,58,6.148,10.4,0.0311,2476.6,2.7619,0,Normal
2020-01-01 00:21:00,25.65,36.15,1450,44.8,63,6.803,10.5,0.0309,2822.4,2.8636,0,Normal
2020-01-01 00:22:00,25.75,36.15,1581,30.7,65,5.083,10.4,0.0194,1995.5,2.8261,0,Normal
2020-01-01 00:23:00,25.85,36.25,1758,25.7,68,4.731,10.4,0.0146,1747.6,2.8333,0,Normal
2020-01-01 00:24:00,25.85,36.25,1561,37.3,70,6.097,10.4,0.0239,2611.0,2.8,0,Normal
2020-01-01 00:25:00,25.85,36.35,1861,23.3,73,4.541,10.5,0.0125,1700.9,2.8077,0,Normal
2020-01-01 00:26:00,25.95,36.35,1512,39.0,75,6.175,10.4,0.0258,2925.0,2.7778,0,Normal
2020-01-01 00:27:00,25.95,36.25,1811,24.6,77,4.665,10.3,0.0136,1894.2,2.75,0,Normal
2020-01-01 00:28:00,25.95,36.25,1439,44.2,82,6.661,10.3,0.0307,3624.4,2.8276,0,Normal
2020-01-01 00:29:00,25.85,36.25,1693,30.1,84,5.336,10.4,0.0178,2528.4,2.8,0,Normal
2020-01-01 00:30:00,25.95,36.35,1339,48.2,86,6.759,10.4,0.036,4145.2,2.7742,0,Normal
2020-01-01 00:31:00,25.85,36.25,1798,25.5,89,4.801,10.4,0.0142,2269.5,2.7812,0,Normal
2020-01-01 00:32:00,25.85,36.25,1419,48.3,91,7.177,10.4,0.034,4395.3,2.7576,0,Normal
2020-01-01 00:33:00,25.75,36.15,1665,32.5,93,5.667,10.4,0.0195,3022.5,2.7353,0,Normal
2020-01-01 00:34:00,25.65,35.95,1559,34.7,95,5.665,10.3,0.0223,3296.5,2.7143,0,Normal
2020-01-01 00:35:00,25.65,36.05,1452,48.6,98,7.39,10.4,0.0335,4762.8,2.7222,0,Normal
2020-01-01 00:36:00,25.75,36.05,1581,36.7,101,6.076,10.3,0.0232,3706.7,2.7297,0,Normal
2020-01-01 00:37:00,25.65,35.95,1439,39.2,104,5.907,10.3,0.0272,4076.8,2.7368,0,Normal
