timestamp,ambient_temp,ambient_humidity,fan_speed,lubrication_flow,motor_temp,spindle_speed,vibration,acoustic_emission,power_draw,tool_wear,anomaly,anomaly_type
2024-01-01 00:00:00,20.99,62.34,1067.1,3.55,48.23,1789.9,1.46,58.71,5.55,4.8,0,Normal
2024-01-01 00:01:00,20.95,58.84,1065.1,3.61,47.47,1701.1,1.35,59.22,5.53,5.0,0,Normal
2024-01-01 00:02:00,21.61,60.52,1028.8,3.62,49.19,1780.6,1.36,60.98,6.08,4.89,0,Normal
2024-01-01 00:03:00,20.46,61.15,1069.2,3.22,49.33,1833.6,1.67,62.46,6.91,4.73,0,Normal
2024-01-01 00:04:00,20.62,60.96,996.0,3.66,49.48,1738.4,1.22,59.16,6.01,4.71,0,Normal
2024-01-01 00:05:00,21.52,56.01,1034.8,3.56,49.1,1742.4,1.42,59.45,5.84,5.29,0,Normal
2024-01-01 00:06:00,20.7,57.13,1046.1,3.37,49.12,1884.9,1.45,61.15,6.11,5.22,0,Normal
2024-01-01 00:07:00,21.45,58.75,1027.7,3.35,50.03,1807.4,1.46,61.64,6.48,5.56,0,Normal
2024-01-01 00:08:00,21.85,58.73,1063.7,3.43,47.18,1712.2,1.38,60.69,5.04,5.17,0,Normal
2024-01-01 00:09:00,20.8,58.57,1042.1,3.24,49.66,1844.0,1.51,60.33,6.11,5.25,0,Normal
2024-01-01 00:10:00,21.35,57.64,1042.2,3.84,47.6,1653.3,1.13,57.96,5.83,5.59,0,Normal
2024-01-01 00:11:00,20.43,61.77,1049.4,3.8,46.88,1765.8,1.18,59.93,5.72,5.19,0,Normal
2024-01-01 00:12:00,21.38,60.05,1042.0,3.59,49.11,1747.3,1.15,57.97,5.48,4.79,0,Normal
2024-01-01 00:13:00,21.11,59.5,1048.0,3.46,46.94,1622.2,1.32,59.9,5.14,5.72,0,Normal
2024-01-01 00:14:00,21.25,60.63,1073.6,3.46,46.53,1604.4,1.12,57.1,5.47,5.1,0,Normal
2024-01-01 00:15:00,20.69,58.7,1053.5,3.65,46.91,1674.9,1.4,59.84,5.72,5.52,0,Normal
2024-01-01 00:16:00,20.18,60.84,1043.3,3.85,47.68,1684.0,1.17,59.18,5.44,5.21,0,Normal
2024-01-01 00:17:00,21.27,61.89,1016.6,3.39,48.51,1799.1,1.55,61.06,6.33,5.24,0,Normal
2024-01-01 00:18:00,20.0,61.8,1033.1,3.28,46.27,1691.2,1.14,58.82,5.45,4.75,0,Normal
2024-01-01 00:19:00,20.86,60.34,1015.2,3.81,47.66,1619.3,1.24,58.33,5.48,5.68,0,Normal
2024-01-01 00:20:00,21.49,62.47,1017.8,3.14,49.92,1971.9,1.75,61.82,6.48,4.51,0,Normal
2024-01-01 00:21:00,21.12,57.59,1040.6,3.3,49.19,1765.7,1.58,61.67,5.92,6.29,0,Normal
2024-01-01 00:22:00,22.0,59.3,1037.4,3.45,48.73,1777.5,1.24,59.8,6.07,6.11,0,Normal
2024-01-01 00:23:00,21.54,61.42,1070.6,3.19,48.05,1625.1,1.3,59.71,5.73,5.32,0,Normal
2024-01-01 00:24:00,20.7,59.95,1054.4,3.72,48.21,1678.9,1.3,60.26,5.8,6.38,0,Normal
2024-01-01 00:25:00,21.05,61.11,993.4,3.67,50.38,1738.2,1.37,59.11,5.85,6.66,0,Normal
2024-01-01 00:26:00,21.01,58.41,1019.5,3.39,49.11,1695.0,1.4,59.99,6.12,5.73,0,Normal
2024-01-01 00:27:00,20.25,60.23,988.4,3.76,49.42,1732.4,1.26,60.82,5.72,6.02,0,Normal
2024-01-01 00:28:00,20.57,61.25,1019.9,3.79,47.52,1659.4,1.35,60.69,6.04,5.94,0,Normal
