Window_Index,Anomaly_Scenario,True_Root_Sensor,Predicted_Root_Sensor,Match,Original_Score,Clamped_Score,Threshold,Score_Drop_Percent,Faithfulness_Passed,Validity_Passed,Sparsity,Latency_ms
451,A1_Fan_Failure,fan_speed,fan_speed,True,0.72454,0.06812,0.12567,90.6,True,True,5,5.69
452,A1_Fan_Failure,fan_speed,fan_speed,True,0.73394,0.06559,0.12567,91.06,True,True,4,4.92
453,A1_Fan_Failure,fan_speed,fan_speed,True,0.74811,0.06881,0.12567,90.8,True,True,3,4.55
454,A1_Fan_Failure,fan_speed,fan_speed,True,0.74692,0.05521,0.12567,92.61,True,True,3,4.81
455,A1_Fan_Failure,fan_speed,fan_speed,True,0.7697,0.05652,0.12567,92.66,True,True,4,4.71
456,A1_Fan_Failure,fan_speed,fan_speed,True,0.85727,0.07673,0.12567,91.05,True,True,6,4.66
457,A1_Fan_Failure,fan_speed,fan_speed,True,0.86646,0.05869,0.12567,93.23,True,True,6,5.54
458,A1_Fan_Failure,fan_speed,fan_speed,True,0.88579,0.06384,0.12567,92.79,True,True,7,4.7
459,A1_Fan_Failure,fan_speed,fan_speed,True,0.89804,0.06371,0.12567,92.91,True,True,7,4.93
460,A1_Fan_Failure,fan_speed,fan_speed,True,0.92344,0.07668,0.12567,91.7,True,True,7,4.54
461,A1_Fan_Failure,fan_speed,fan_speed,True,0.91274,0.06519,0.12567,92.86,True,True,8,4.66
462,A1_Fan_Failure,fan_speed,fan_speed,True,0.94993,0.0839,0.12567,91.17,True,True,8,4.6
463,A1_Fan_Failure,fan_speed,fan_speed,True,0.94672,0.07864,0.12567,91.69,True,True,8,4.63
464,A1_Fan_Failure,fan_speed,fan_speed,True,0.94245,0.07177,0.12567,92.38,True,True,8,5.1
465,A1_Fan_Failure,fan_speed,fan_speed,True,0.95097,0.07237,0.12567,92.39,True,True,8,4.72
466,A1_Fan_Failure,fan_speed,fan_speed,True,0.97589,0.08556,0.12567,91.23,True,True,8,4.6
467,A1_Fan_Failure,fan_speed,fan_speed,True,0.97023,0.07922,0.12567,91.83,True,True,8,4.69
468,A1_Fan_Failure,fan_speed,fan_speed,True,0.9896,0.08273,0.12567,91.64,True,True,8,4.77
469,A1_Fan_Failure,fan_speed,fan_speed,True,0.98257,0.07501,0.12567,92.37,True,True,8,4.61
470,A1_Fan_Failure,fan_speed,fan_speed,True,0.98181,0.06927,0.12567,92.94,True,True,8,5.53
471,A1_Fan_Failure,fan_speed,fan_speed,True,1.0211,0.09332,0.12567,90.86,True,True,8,4.69
472,A1_Fan_Failure,fan_speed,fan_speed,True,1.00457,0.07367,0.12567,92.67,True,True,8,5.07
473,A1_Fan_Failure,fan_speed,fan_speed,True,1.01449,0.07556,0.12567,92.55,True,True,8,4.71
474,A1_Fan_Failure,fan_speed,fan_speed,True,1.00954,0.06898,0.12567,93.17,True,True,8,5.06
475,A1_Fan_Failure,fan_speed,fan_speed,True,1.04556,0.08896,0.12567,91.49,True,True,8,4.67
476,A1_Fan_Failure,fan_speed,fan_speed,True,1.0501,0.08433,0.12567,91.97,True,True,8,4.41
