Window_Index,Scenario,True_Root_Cause,Proposed_Root_Cause,Proposed_Match,Current_Reading,Target_Reading,Required_Change,Direction,Unit,Orig_Score,CF_Score,Threshold,Validity,Sparsity,Proximity_L1,Proximity_L2,Actionability_Pct,Score_Reduction_Pct,Latency_ms,Explanation_Narrative
451,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.72454,0.06812,0.12567,True,2,0.04033,0.16937,50.0,90.6,7.15,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.7245 to 0.0681 (threshold: 0.1257), restoring the machine to verified normal operation."
452,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.73394,0.06559,0.12567,True,2,0.04805,0.22394,50.0,91.06,6.03,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.7339 to 0.0656 (threshold: 0.1257), restoring the machine to verified normal operation."
453,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.74811,0.06881,0.12567,True,2,0.05585,0.26758,50.0,90.8,6.01,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.7481 to 0.0688 (threshold: 0.1257), restoring the machine to verified normal operation."
454,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.74692,0.05521,0.12567,True,2,0.06359,0.30503,50.0,92.61,5.91,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.7469 to 0.0552 (threshold: 0.1257), restoring the machine to verified normal operation."
455,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.7697,0.05652,0.12567,True,2,0.07154,0.33844,50.0,92.66,5.8,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.7697 to 0.0565 (threshold: 0.1257), restoring the machine to verified normal operation."
456,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.85727,0.07673,0.12567,True,2,0.07929,0.36874,50.0,91.05,5.9,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.8573 to 0.0767 (threshold: 0.1257), restoring the machine to verified normal operation."
457,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.86646,0.05869,0.12567,True,2,0.08727,0.39682,50.0,93.23,5.6,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.8665 to 0.0587 (threshold: 0.1257), restoring the machine to verified normal operation."
458,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.88579,0.06384,0.12567,True,2,0.09523,0.42304,50.0,92.79,5.59,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.8858 to 0.0638 (threshold: 0.1257), restoring the machine to verified normal operation."
459,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.89804,0.06371,0.12567,True,2,0.10311,0.44771,50.0,92.91,5.6,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.8980 to 0.0637 (threshold: 0.1257), restoring the machine to verified normal operation."
460,A1_Fan_Failure,fan_speed,fan_speed,True,0.0,1145.0,1145.0,increase,RPM,0.92344,0.07668,0.12567,True,2,0.11102,0.47111,50.0,91.7,5.62,"WHAT-IF ACTION: INCREASE Fan Speed from 0.00 RPM to 1145.00 RPM (+1145.00 RPM). Result: Anomaly reconstruction score drops from 0.9234 to 0.0767 (threshold: 0.1257), restoring the machine to verified normal operation."
