Round,Factory_A_Loss,Factory_B_Loss,Factory_C_Loss,Avg_Client_Loss,Global_F1,Global_ROC_AUC,Global_PR_AUC,Communication_Round_KB
1,0.06760192855611781,0.06858050594578974,0.06888434932947252,0.06835559461046002,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
2,0.013773495857959046,0.013189075618845494,0.013735097632786937,0.013565889703197158,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
3,0.012877330821778778,0.012085165337928399,0.012600177339048958,0.012520891166252046,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
4,0.01161420176606641,0.01032484983729948,0.011594501225353215,0.011177850942906367,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
5,0.009452005049677477,0.008555181749718565,0.009597239743865957,0.009201475514420666,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
6,0.00857606400366426,0.007793120513180386,0.009057605550609924,0.008475596689151522,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
7,0.00814880892007525,0.007492170525319837,0.008620512596334439,0.008087164013909841,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
8,0.007959744085816156,0.0075708665769976344,0.008191910459198684,0.007907507040670824,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
9,0.007643233154871488,0.007153079866778373,0.008031664155800812,0.00760932572581689,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
10,0.007626145665337896,0.006945131067886252,0.007858019735594498,0.007476432156272882,0.9942196531791907,1.0,0.9999999999999999,1405.6171875
